PyTorch Version: 1.7.0
CUDA device available: False
Using CUDA device: cpu
Random Seed: 42
Output Path: /home/bu20/2021/UP_courses/DL/project/UTK_final/
Script: run_model.py
Epoch: 018/050 | Batch 0175/0190 | Cost: 4.3250
CS/MAE/RMSE: | Current Valid: 0.29/10.30/12.56 Ep. 17 | Best Valid :                0.36/7.74/9.37 Ep. 8
Time elapsed: 209.68 min
Epoch: 019/050 | Batch 0000/0190 | Cost: 4.6897
Epoch: 019/050 | Batch 0025/0190 | Cost: 4.9538
Epoch: 019/050 | Batch 0050/0190 | Cost: 4.3285
Epoch: 019/050 | Batch 0075/0190 | Cost: 4.5722
Epoch: 019/050 | Batch 0100/0190 | Cost: 5.8290
Epoch: 019/050 | Batch 0125/0190 | Cost: 6.0040
Epoch: 019/050 | Batch 0150/0190 | Cost: 4.9227
Epoch: 019/050 | Batch 0175/0190 | Cost: 4.7287
CS/MAE/RMSE: | Current Valid: 0.33/8.96/10.88 Ep. 18 | Best Valid :                0.36/7.74/9.37 Ep. 8
Time elapsed: 221.29 min
Epoch: 020/050 | Batch 0000/0190 | Cost: 5.1336
Epoch: 020/050 | Batch 0025/0190 | Cost: 4.9436
Epoch: 020/050 | Batch 0050/0190 | Cost: 4.2579
Epoch: 020/050 | Batch 0075/0190 | Cost: 4.1038
Epoch: 020/050 | Batch 0100/0190 | Cost: 5.8188
Epoch: 020/050 | Batch 0125/0190 | Cost: 5.4858
Epoch: 020/050 | Batch 0150/0190 | Cost: 4.6028
Epoch: 020/050 | Batch 0175/0190 | Cost: 4.7981
CS/MAE/RMSE: | Current Valid: 0.29/9.92/12.05 Ep. 19 | Best Valid :                0.36/7.74/9.37 Ep. 8
Time elapsed: 232.93 min
Epoch: 021/050 | Batch 0000/0190 | Cost: 4.4607
Epoch: 021/050 | Batch 0025/0190 | Cost: 4.8324
Epoch: 021/050 | Batch 0050/0190 | Cost: 4.2903
Epoch: 021/050 | Batch 0075/0190 | Cost: 4.1333
Epoch: 021/050 | Batch 0100/0190 | Cost: 6.0582
Epoch: 021/050 | Batch 0125/0190 | Cost: 6.3380
Epoch: 021/050 | Batch 0150/0190 | Cost: 4.4426
Epoch: 021/050 | Batch 0175/0190 | Cost: 5.0763
CS/MAE/RMSE: | Current Valid: 0.26/10.76/12.80 Ep. 20 | Best Valid :                0.36/7.74/9.37 Ep. 8
